Time,Bus01,Bus02,Bus03,Bus04,Bus05,Bus06,Bus07,Bus08,Bus09,Bus10,Bus11,Bus12,Bus13,Bus14,Bus15,Bus16,Bus17,Bus18,Bus19,Bus20
-0.1,1.047356,1.048736,1.030173,1.003863,1.005311,1.007672,0.997001,0.99602,1.028226,1.017151,1.012694,1.000151,1.014307,1.011733,1.015384,1.031774,1.033555,1.030931,1.049861,0.991177
-0.09,1.047356,1.048736,1.030173,1.003863,1.005311,1.007672,0.997001,0.99602,1.028226,1.017151,1.012694,1.000151,1.014307,1.011733,1.015384,1.031774,1.033555,1.030931,1.049861,0.991177
-0.08,1.047356,1.048736,1.030173,1.003863,1.005311,1.007672,0.997001,0.99602,1.028226,1.017151,1.012694,1.000151,1.014307,1.011733,1.015384,1.031774,1.033555,1.030931,1.049861,0.991177
-0.07,1.047356,1.048736,1.030173,1.003863,1.005311,1.007672,0.997001,0.99602,1.028226,1.017151,1.012694,1.000151,1.014307,1.011733,1.015384,1.031774,1.033555,1.030931,1.049861,0.991177
-0.06,1.047356,1.048736,1.030173,1.003863,1.005311,1.007672,0.997001,0.99602,1.028226,1.017151,1.012694,1.000151,1.014307,1.011733,1.015384,1.031774,1.033555,1.030931,1.049861,0.991177
-0.05,1.047356,1.048736,1.030173,1.003863,1.005311,1.007672,0.997001,0.99602,1.028226,1.017151,1.012694,1.000151,1.014307,1.011733,1.015384,1.031774,1.033555,1.030931,1.049861,0.991177
-0.04,1.047356,1.048736,1.030173,1.003863,1.005311,1.007672,0.997001,0.99602,1.028226,1.017151,1.012694,1.000151,1.014307,1.011733,1.015384,1.031774,1.033555,1.030931,1.049861,0.991177
-0.03,1.047356,1.048736,1.030173,1.003863,1.005311,1.007672,0.997001,0.99602,1.028226,1.017151,1.012694,1.000151,1.014307,1.011733,1.015384,1.031774,1.033555,1.030931,1.049861,0.991177
-0.02,1.047356,1.048736,1.030173,1.003863,1.005311,1.007672,0.997001,0.99602,1.028226,1.017151,1.012694,1.000151,1.014307,1.011733,1.015384,1.031774,1.033555,1.030931,1.049861,0.991177
-0.01,1.047356,1.048736,1.030173,1.003863,1.005311,1.007672,0.997001,0.99602,1.028226,1.017151,1.012694,1.000151,1.014307,1.011733,1.015384,1.031774,1.033555,1.030931,1.049861,0.991177
0,1.047356,1.048736,1.030173,1.003863,1.005311,1.007672,0.997001,0.99602,1.028226,1.017151,1.012694,1.000151,1.014307,1.011733,1.015384,1.031774,1.033555,1.030931,1.049861,0.991177
0.005,0.876873,0.678919,0.480402,0.460337,0.534524,0.544785,0.548803,0.557814,0.816877,0.526612,0.529437,0.487193,0.49155,0.411796,0.163546,0.06539,0.23582,0.327158,0.401037,0.474631
0.011667,0.873267,0.674281,0.477551,0.457672,0.530136,0.539772,0.545215,0.554617,0.814367,0.521468,0.524468,0.48415,0.487064,0.408474,0.1615,0.063228,0.233615,0.324865,0.378474,0.454464
0.021667,0.869009,0.669271,0.475248,0.456621,0.527528,0.536517,0.543614,0.553392,0.812287,0.517616,0.520982,0.48307,0.483924,0.406458,0.160073,0.061244,0.231787,0.323057,0.359186,0.435965
0.031667,0.866078,0.666392,0.474942,0.458397,0.52873,0.537355,0.545613,0.555566,0.811929,0.517551,0.521354,0.485326,0.484284,0.40731,0.160185,0.060376,0.231397,0.322862,0.351205,0.427096
0.041667,0.863981,0.664737,0.475591,0.461364,0.531591,0.54,0.54912,0.559146,0.812405,0.519279,0.523501,0.489005,0.486263,0.409426,0.16092,0.059976,0.231644,0.323396,0.347403,0.422294
0.051667,0.86245,0.663838,0.476723,0.464817,0.535187,0.543473,0.55325,0.563292,0.813308,0.521888,0.526492,0.493268,0.489016,0.412108,0.161923,0.059813,0.232199,0.324283,0.345703,0.419725
0.061667,0.86121,0.663238,0.477885,0.468099,0.538667,0.546869,0.557177,0.567214,0.814259,0.524547,0.529476,0.497336,0.491765,0.41471,0.162873,0.059703,0.232768,0.325171,0.344669,0.418106
0.071667,0.860163,0.662798,0.478983,0.47111,0.541902,0.550048,0.560789,0.570807,0.815173,0.527086,0.532296,0.501084,0.49436,0.417123,0.163725,0.059616,0.233291,0.325989,0.344112,0.417157
0.081667,0.859215,0.66238,0.47991,0.473728,0.544734,0.552839,0.563938,0.573934,0.81596,0.529325,0.534774,0.504366,0.496636,0.419216,0.164418,0.059516,0.233704,0.32666,0.343806,0.41661
0.091667,0.858297,0.661896,0.480608,0.475898,0.547086,0.555161,0.56656,0.576534,0.816567,0.531168,0.536823,0.507115,0.498511,0.42093,0.164926,0.059382,0.23397,0.327139,0.34363,0.416309
0.101667,0.85736,0.661288,0.481044,0.4776,0.548931,0.55698,0.568633,0.578586,0.816964,0.532572,0.538402,0.50931,0.499946,0.422236,0.165235,0.059202,0.234068,0.327404,0.3435,0.416147
0.111667,0.856369,0.660519,0.481204,0.478836,0.550266,0.558292,0.570161,0.580097,0.817137,0.533522,0.539502,0.510954,0.500932,0.423132,0.165343,0.058969,0.233989,0.327444,0.343387,0.416072
0.121667,0.855297,0.659564,0.481081,0.479619,0.551102,0.559105,0.57116,0.581083,0.817077,0.534019,0.540126,0.512063,0.501472,0.423624,0.165251,0.058679,0.233728,0.327254,0.343269,0.416046
0.131667,0.854124,0.658409,0.480677,0.479965,0.551456,0.559436,0.57165,0.581563,0.816783,0.534071,0.540288,0.512661,0.501577,0.423724,0.164964,0.05833,0.233283,0.326833,0.343127,0.416044
0.141667,0.852834,0.657043,0.479992,0.47989,0.551345,0.559301,0.571652,0.581559,0.816251,0.533692,0.540001,0.512769,0.50126,0.423445,0.164485,0.057918,0.232653,0.326184,0.342952,0.416047
0.151667,0.851415,0.655458,0.479031,0.479414,0.550789,0.558718,0.571186,0.581091,0.815484,0.532895,0.539281,0.512412,0.500536,0.4228,0.163819,0.057442,0.231838,0.325308,0.342737,0.416047
0.161667,0.849856,0.653649,0.477797,0.478551,0.549804,0.557704,0.570272,0.580177,0.814482,0.531694,0.538143,0.51161,0.499418,0.421803,0.162969,0.056899,0.230839,0.324207,0.342477,0.416033
0.171667,0.848148,0.651611,0.476294,0.477316,0.548403,0.556272,0.568926,0.578834,0.813244,0.530101,0.5366,0.510381,0.497919,0.420465,0.161939,0.056287,0.229656,0.322883,0.342167,0.416002
0.18,0.846583,0.649718,0.474819,0.475986,0.546902,0.554743,0.567455,0.577367,0.812008,0.528455,0.534987,0.509016,0.496362,0.419074,0.160931,0.055717,0.228516,0.321595,0.341834,0.415914
0.185,0.959332,0.929906,0.903623,0.895072,0.902774,0.905137,0.900125,0.900036,0.950962,0.910116,0.907456,0.903641,0.904763,0.892757,0.868084,0.86353,0.882957,0.88851,0.854211,0.812229
0.191667,0.965853,0.944245,0.921804,0.912814,0.919185,0.921582,0.915599,0.915072,0.958674,0.927281,0.924382,0.920706,0.922494,0.91197,0.892235,0.889856,0.906214,0.909956,0.887483,0.840232
0.201667,0.972603,0.959367,0.940456,0.930722,0.935823,0.938327,0.931136,0.930114,0.966463,0.944936,0.941708,0.937932,0.940643,0.931498,0.916967,0.917283,0.930154,0.931923,0.923225,0.87123
0.211667,0.975812,0.967034,0.949107,0.938457,0.943084,0.945738,0.937669,0.936357,0.969847,0.952992,0.949495,0.945273,0.948816,0.94014,0.92815,0.930333,0.941277,0.942026,0.941937,0.888621
0.221667,0.976594,0.969787,0.951325,0.939604,0.944194,0.947011,0.938291,0.936825,0.970269,0.954715,0.950997,0.946138,0.950451,0.94175,0.93075,0.934293,0.944278,0.944588,0.950279,0.897363
0.231667,0.975635,0.969158,0.949213,0.936305,0.941111,0.944089,0.934884,0.933358,0.968618,0.952096,0.948196,0.942596,0.94763,0.938624,0.927671,0.932247,0.941891,0.942133,0.951969,0.900335
0.241667,0.973373,0.966102,0.94405,0.929876,0.935053,0.938187,0.92862,0.9271,0.96546,0.94638,0.942331,0.935938,0.941644,0.932164,0.920633,0.926011,0.935735,0.936164,0.949053,0.8992
0.251667,0.970121,0.961271,0.936697,0.921209,0.926855,0.930135,0.920304,0.91884,0.96119,0.938423,0.934254,0.92705,0.933378,0.923318,0.910787,0.916792,0.926895,0.92769,0.942847,0.895069
0.261667,0.9661,0.955116,0.927737,0.910914,0.917087,0.920505,0.910487,0.909114,0.956087,0.928816,0.924548,0.916536,0.923437,0.91273,0.898893,0.905383,0.916086,0.917383,0.934177,0.888667
