Time,Bus21,Bus22,Bus23,Bus24,Bus25,Bus26,Bus27,Bus28,Bus29,Bus30,Bus31,Bus32,Bus33,Bus34,Bus35,Bus36,Bus37,Bus38,Bus39
-0.1,1.03176,1.049795,1.044789,1.037311,1.057568,1.052075,1.037741,1.050122,1.049942,1.0475,0.982,0.9831,0.9972,1.0123,1.0493,1.0635,1.0278,1.0265,1.03
-0.09,1.03176,1.049795,1.044789,1.037311,1.057568,1.052075,1.037741,1.050122,1.049942,1.0475,0.982,0.9831,0.9972,1.0123,1.0493,1.0635,1.0278,1.0265,1.03
-0.08,1.03176,1.049795,1.044789,1.037311,1.057568,1.052075,1.037741,1.050122,1.049942,1.0475,0.982,0.9831,0.9972,1.0123,1.0493,1.0635,1.0278,1.0265,1.03
-0.07,1.03176,1.049795,1.044789,1.037311,1.057568,1.052075,1.037741,1.050122,1.049942,1.0475,0.982,0.9831,0.9972,1.0123,1.0493,1.0635,1.0278,1.0265,1.03
-0.06,1.03176,1.049795,1.044789,1.037311,1.057568,1.052075,1.037741,1.050122,1.049942,1.0475,0.982,0.9831,0.9972,1.0123,1.0493,1.0635,1.0278,1.0265,1.03
-0.05,1.03176,1.049795,1.044789,1.037311,1.057568,1.052075,1.037741,1.050122,1.049942,1.0475,0.982,0.9831,0.9972,1.0123,1.0493,1.0635,1.0278,1.0265,1.03
-0.04,1.03176,1.049795,1.044789,1.037311,1.057568,1.052075,1.037741,1.050122,1.049942,1.0475,0.982,0.9831,0.9972,1.0123,1.0493,1.0635,1.0278,1.0265,1.03
-0.03,1.03176,1.049795,1.044789,1.037311,1.057568,1.052075,1.037741,1.050122,1.049942,1.0475,0.982,0.9831,0.9972,1.0123,1.0493,1.0635,1.0278,1.0265,1.03
-0.02,1.03176,1.049795,1.044789,1.037311,1.057568,1.052075,1.037741,1.050122,1.049942,1.0475,0.982,0.9831,0.9972,1.0123,1.0493,1.0635,1.0278,1.0265,1.03
-0.01,1.03176,1.049795,1.044789,1.037311,1.057568,1.052075,1.037741,1.050122,1.049942,1.0475,0.982,0.9831,0.9972,1.0123,1.0493,1.0635,1.0278,1.0265,1.03
0,1.03176,1.049795,1.044789,1.037311,1.057568,1.052075,1.037741,1.050122,1.049942,1.0475,0.982,0.9831,0.9972,1.0123,1.0493,1.0635,1.0278,1.0265,1.03
0.005,0.225476,0.405029,0.402149,0.114358,0.676628,0.514989,0.377564,0.616024,0.65605,0.834543,0.674892,0.658765,0.544261,0.640817,0.586238,0.650401,0.772422,0.735119,0.981441
0.011667,0.217691,0.390095,0.385484,0.109759,0.671366,0.512819,0.376109,0.614196,0.653826,0.82965,0.66017,0.649726,0.508203,0.619031,0.566835,0.616896,0.760998,0.731536,0.978748
0.021667,0.210272,0.375531,0.370244,0.105447,0.665851,0.511188,0.375332,0.613022,0.652103,0.823806,0.646669,0.640603,0.478754,0.596132,0.546289,0.588216,0.747905,0.727906,0.975374
0.031667,0.206579,0.367785,0.363038,0.103371,0.662923,0.511252,0.375964,0.613519,0.652125,0.819717,0.64132,0.63607,0.467081,0.582136,0.53373,0.575749,0.73931,0.726248,0.972816
0.041667,0.20461,0.363297,0.359331,0.102276,0.661505,0.512181,0.377236,0.614905,0.653122,0.816799,0.63989,0.634131,0.461473,0.572861,0.525537,0.569646,0.733545,0.725812,0.970845
0.051667,0.203554,0.360591,0.35741,0.101689,0.661018,0.513554,0.378793,0.616746,0.654645,0.814707,0.640594,0.633729,0.458804,0.566545,0.51996,0.566593,0.729649,0.726127,0.96931
0.061667,0.202862,0.358708,0.356194,0.101272,0.660942,0.514996,0.380318,0.618669,0.656318,0.813109,0.641906,0.633951,0.456999,0.561948,0.515841,0.56465,0.72679,0.726812,0.968082
0.071667,0.202386,0.357361,0.355423,0.100953,0.661094,0.516388,0.381731,0.620525,0.657977,0.811865,0.643545,0.634491,0.455848,0.558596,0.512717,0.563438,0.724637,0.727665,0.967085
0.081667,0.202004,0.356321,0.354876,0.100661,0.66131,0.51762,0.382954,0.622193,0.659489,0.810845,0.64519,0.635081,0.455058,0.556104,0.510245,0.562614,0.722903,0.728527,0.966251
0.091667,0.201643,0.355455,0.354435,0.100355,0.661485,0.518629,0.383944,0.623596,0.660771,0.809958,0.646664,0.635559,0.454478,0.554225,0.508212,0.562003,0.721402,0.729295,0.965532
0.101667,0.201265,0.354686,0.354034,0.100012,0.661552,0.519376,0.384675,0.624689,0.66177,0.809136,0.647875,0.635827,0.454001,0.552785,0.506481,0.561513,0.720011,0.729898,0.964888
